PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;OPLEIDINGSFASE ACTUEEL;2012 MAN;2012 VROUW;2013 MAN;2013 VROUW;2014 MAN;2014 VROUW;2015 MAN;2015 VROUW;2016 MAN;2016 VROUW
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68501;M Leraar Voorbereidend Hoger Onderwijs in Algemene Economie;voltijd onderwijs;master;1;1;0;1;2;1;0;2;3;1
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68502;M Leraar Voorbereidend Hoger Onderwijs in Biologie;deeltijd onderwijs;master;3;2;1;2;2;0;1;1;1;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68502;M Leraar Voorbereidend Hoger Onderwijs in Biologie;voltijd onderwijs;master;9;9;9;10;6;7;10;11;3;8
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68503;M Leraar Voorbereidend Hoger Onderwijs in Duits;deeltijd onderwijs;master;1;1;0;2;1;1;0;0;0;1
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68503;M Leraar Voorbereidend Hoger Onderwijs in Duits;voltijd onderwijs;master;0;3;1;2;1;1;0;0;6;9
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68504;M Leraar Voorbereidend Hoger Onderwijs in Engels;deeltijd onderwijs;master;1;3;2;5;3;3;1;1;1;3
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68504;M Leraar Voorbereidend Hoger Onderwijs in Engels;voltijd onderwijs;master;11;19;3;13;4;23;3;15;4;10
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68505;M Leraar Voorbereidend Hoger Onderwijs in Filosofie;deeltijd onderwijs;master;1;0;1;1;0;1;0;1;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68505;M Leraar Voorbereidend Hoger Onderwijs in Filosofie;voltijd onderwijs;master;1;1;2;2;3;0;2;2;2;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68506;M Leraar Voorbereidend Hoger Onderwijs in Geschiedenis en Staatsinrichting;deeltijd onderwijs;master;1;2;1;3;3;2;2;0;2;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68506;M Leraar Voorbereidend Hoger Onderwijs in Geschiedenis en Staatsinrichting;voltijd onderwijs;master;15;2;14;3;11;9;10;7;15;6
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68507;M Leraar Voorbereidend Hoger Onderwijs in Godsdienst en Levensbeschouwing;deeltijd onderwijs;master;1;0;1;0;0;0;0;1;0;0
